,latitude,longitude,num_clinics_hospitals,num_touristic_attractions,num_museums,num_theatres,num_schools,num_universities,num_kindergartens,num_churches,num_shops,num_malls,num_restaurants,num_cinemas,num_fitness_centres,has_airport,has_train_station,has_subway,num_atms,num_banks,num_residential_buildings,num_offices,has_bus_station,lat_long,id,atm_group,address,address_rus,address_rus_full,federal_district,region,subregional_district,subregional_subdistrict,town,subtown_district,subtown_subdistrict,street,house,route,metro,airport,target,is_capital
0,46.940995,142.738319,0,0,0,0,0,0,0,0,54,0,0,0,1,0,0,0,0,0,99,0,1,46.940995 142.738319,8526.0,32.0,"emelyanova,34          y-sakhalinsk","улица а.о. емельянова, 34, южно-сахалинск, сахалинская область, россия","россия, сахалинская область, южно-сахалинск, улица а.о. емельянова, 34",дальневосточный федеральный округ,сахалинская область,городской округ южно-сахалинск,,южно-сахалинск,,,улица а.о. емельянова,34,,,,0.0114998209182048,0
1,46.937353,142.753348,0,0,0,0,0,0,0,0,41,0,1,0,1,0,0,0,1,2,116,0,1,46.937353 142.753348,8532.0,32.0,"komsomolskaya,259b     y.sakhalinsk","комсомольская улица, 259, южно-сахалинск, сахалинская область, россия","россия, сахалинская область, южно-сахалинск, комсомольская улица, 259",дальневосточный федеральный округ,сахалинская область,городской округ южно-сахалинск,,южно-сахалинск,,,комсомольская улица,259,,,,0.0297102650350859,0
2,46.959413,142.741113,3,0,0,0,0,0,0,0,27,0,2,0,0,0,0,0,2,6,65,0,1,46.959413 142.741113,8533.0,32.0,"kommun. pr., 32        yuzhno sakhal","коммунистический проспект, южно-сахалинск, сахалинская область, россия","россия, сахалинская область, южно-сахалинск, коммунистический проспект",дальневосточный федеральный округ,сахалинская область,городской округ южно-сахалинск,,южно-сахалинск,,,коммунистический проспект,32,,,,0.0095399608832554,0
3,55.805827,37.515146,1,0,1,1,0,0,0,0,226,0,11,0,2,0,1,1,13,16,63,9,1,55.805827 37.515146,8684.0,32.0,"leningradskiy pr.,76a  moscow","ленинградский проспект, 76а, москва, россия, 125315","россия, москва, ленинградский проспект, 76а",центральный федеральный округ,москва,,,москва,,,ленинградский проспект,76а,,,,-0.0940346244764994,1
4,69.343541,88.211228,1,0,1,0,1,0,0,0,31,0,1,0,0,0,0,0,2,2,74,9,1,69.343541 88.211228,37.0,32.0,"gvardeyskaya pl., 2    norilsk","гвардейская площадь, 2, норильск, красноярский край, россия, 663302","россия, красноярский край, норильск, гвардейская площадь, 2",сибирский федеральный округ,красноярский край,городской округ норильск,,норильск,,,гвардейская площадь,2,,,,0.0792773520096629,0
5,43.16586,131.908212,0,0,0,0,1,0,0,0,91,3,4,0,1,0,1,0,6,2,32,0,1,43.16586 131.908212,313.0,32.0,"russkaya, 16           vladivostok","русская улица, 16, владивосток, приморский край, россия, 690039","россия, приморский край, владивосток, русская улица, 16",дальневосточный федеральный округ,приморский край,владивостокский городской округ,,владивосток,,,русская улица,16,,,,-0.1450012314747548,0
6,55.716859,37.613063,7,0,3,0,0,0,0,0,93,0,3,0,2,0,1,1,6,4,93,28,1,55.716859 37.613063,335.0,32.0,"shukhova, 14           moscow","улица шухова, 14, москва, россия, 115162","россия, москва, улица шухова, 14",центральный федеральный округ,москва,,,москва,,,улица шухова,14,,,,-0.0246822352357643,1
7,43.117174,131.885503,1,17,6,2,2,1,2,1,232,8,25,0,2,0,0,0,31,25,133,4,1,43.117174 131.885503,358.0,32.0,"admirala fokina, 25    vladivostok","улица адмирала фокина, 25, владивосток, приморский край, россия, 690091","россия, приморский край, владивосток, улица адмирала фокина, 25",дальневосточный федеральный округ,приморский край,владивостокский городской округ,,владивосток,,,улица адмирала фокина,25,,,,-0.1334258834962322,0
8,55.799765,37.116016,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,160,0,0,55.799765 37.116016,2895.0,32.0,zhivopisnaia 136       d.velednikov,"деревня веледниково, городской округ истра, московская область, россия","россия, московская область, городской округ истра, деревня веледниково",центральный федеральный округ,московская область,городской округ истра,,деревня веледниково,,,улица живописная,136,,,,0.1414693533331615,0
9,53.20322,44.978826,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,221,2,1,53.20322 44.978826,1975.0,496.5,bekeshskaya 39            penza,"бекешская улица, 39, пенза, россия, 440018","россия, пенза, бекешская улица, 39",приволжский федеральный округ,пензенская область,городской округ пенза,,пенза,,,бекешская улица,39,,,,0.0172589332663376,0
10,56.132925,40.419184,1,0,1,1,0,2,0,7,55,0,6,0,3,0,1,0,7,1,133,1,1,56.132925 40.419184,1977.0,496.5,b.moskovskaya 90a         vladimir,"большая московская улица, 90а, владимир, россия, 600000","россия, владимир, большая московская улица, 90а",центральный федеральный округ,владимирская область,городской округ владимир,,владимир,,,большая московская улица,90а,,,,-0.0139490047116537,0
11,52.718497,41.454511,0,2,1,2,1,1,1,2,41,0,5,0,1,0,0,0,5,10,64,3,1,52.718497 41.454511,1992.0,496.5,gorkogo 20                tambov,"улица максима горького, 20, тамбов, россия","россия, тамбов, улица максима горького, 20",центральный федеральный округ,тамбовская область,городской округ тамбов,,тамбов,,,улица максима горького,20,,,,-0.0484357394087966,0
12,62.033259,129.736382,2,0,0,0,0,0,0,0,31,0,1,0,1,0,0,0,1,7,100,0,1,62.033259 129.736382,1998.0,496.5,kurashova 28/1            yakutsk,"улица курашова, 28/1, якутск, республика саха (якутия), россия, 677000","россия, республика саха (якутия), якутск, улица курашова, 28/1",дальневосточный федеральный округ,республика саха (якутия),городской округ якутск,,якутск,,,улица курашова,28/1,,,,-0.0642932974491817,0
13,55.577108,42.05437,1,0,1,1,1,0,1,0,143,0,4,0,1,0,0,0,1,3,111,2,1,55.577108 42.05437,2006.0,496.5,lenina 32                 murom,"улица ленина, 32, муром, владимирская область, россия, 602267","россия, владимирская область, муром, улица ленина, 32",центральный федеральный округ,владимирская область,округ муром,,муром,,,улица ленина,32,,,,-0.1001214289644553,0
